% Model:              3dmodel.mph
% Version:            COMSOL 5.5.0.352
% Date:               May 23 2023, 16:10
% Table:              Tabelle 6 - Linienintegration 1
% phi_0 (V)                                       eps_0 * eps_r * (uzi*nzi + uri*nri) * kappa_d/(beta*e_0) * 100 / (pi*(kappa_d*(d_m/2+d_ins))^2)
0                                                 0
-0.01                                             -0.5941283764637333
-0.02                                             -1.1963771970896948
-0.03                                             -1.8141007224543648
-0.04                                             -2.453137408732623
-0.05                                             -3.1171095572012284
-0.06                                             -3.80683442012957
-0.07                                             -4.519942943615197
-0.08                                             -5.250822782200814
-0.09                                             -5.990984401261202
-0.1                                              -6.729874949622217
-0.11                                             -7.456043445065326
-0.12                                             -8.158439719600375
-0.13                                             -8.827573361584614
-0.14                                             -9.456305015779108
-0.15                                             -10.040169031574615
-0.16                                             -10.57726755340543
-0.17                                             -11.067869780037116
-0.18                                             -11.51387432164953
-0.19                                             -11.918264131691707
-0.2                                              -12.284633731161739
-0.21                                             -12.616822099856195
-0.22                                             -12.918652764903658
-0.23                                             -13.193765889479751
-0.24                                             -13.4455214660709
-0.25                                             -13.676953349764576
-0.26                                             -13.890757281477818
-0.27                                             -14.089300125338534
-0.28                                             -14.27464124535291
-0.29                                             -14.448559906734737
-0.3                                              -14.612584780317247
-0.31                                             -14.768023168505042
-0.32                                             -14.91598860802829
-0.33                                             -15.057426176842744
-0.34                                             -15.193135251386071
-0.35000000000000003                              -15.323789709272173
-0.36                                             -15.449955710566472
-0.37                                             -15.572107258734995
-0.38                                             -15.690639767461253
-0.39                                             -15.805881859625693
-0.4                                              -15.918105611288246
-0.41000000000000003                              -16.027535433649625
-0.42                                             -16.134355764018736
-0.43                                             -16.238717715273683
-0.44                                             -16.340744813496936
-0.45                                             -16.440537935980426
-0.46                                             -16.538179546779585
-0.47000000000000003                              -16.63373731433021
-0.48                                             -16.72726718507928
-0.49                                             -16.81881597830551
-0.5                                              -16.908423560000614
-0.51                                             -16.996124647544352
-0.52                                             -17.081950291671337
-0.53                                             -17.165929077675777
-0.54                                             -17.248088083759658
-0.55                                             -17.328453630766425
-0.56                                             -17.407051854164454
-0.5700000000000001                               -17.483909125995805
-0.58                                             -17.559052351542363
-0.59                                             -17.63250916267381
-0.6                                              -17.704308027217593
-0.61                                             -17.774478291239163
-0.62                                             -17.84305016884026
-0.63                                             -17.91005469198128
-0.64                                             -17.975523630921344
-0.65                                             -18.039489394136083
-0.66                                             -18.101984915029917
-0.67                                             -18.163043531391477
-0.68                                             -18.222698862347833
-0.6900000000000001                               -18.28098468654038
-0.7000000000000001                               -18.337934824363245
-0.71                                             -18.393583026360957
-0.72                                             -18.447962869260913
-0.73                                             -18.501107660605815
-0.74                                             -18.553050352537774
-0.75                                             -18.60382346495482
-0.76                                             -18.65345901800403
-0.77                                             -18.70198847367724
-0.78                                             -18.749442686131278
-0.79                                             -18.79585186024917
-0.8                                              -18.841245517891807
-0.81                                             -18.885652471247987
-0.8200000000000001                               -18.92910080267121
-0.8300000000000001                               -18.971617850391137
-0.84                                             -19.01323019949818
-0.85                                             -19.053963677621446
-0.86                                             -19.09384335474853
-0.87                                             -19.132893546667688
-0.88                                             -19.171137821549443
-0.89                                             -19.208599009222237
-0.9                                              -19.245299212731982
-0.91                                             -19.281259821816
-0.92                                             -19.316501527953967
-0.93                                             -19.3510443406955
-0.9400000000000001                               -19.38490760499479
-0.9500000000000001                               -19.418110019314298
-0.96                                             -19.450669654286138
-0.97                                             -19.482603971747423
-0.98                                             -19.513929843988567
-0.99                                             -19.544663573075148
-1                                                -19.57482091012404
