% Model:              3dmodel.mph
% Version:            COMSOL 5.5.0.352
% Date:               May 23 2023, 16:19
% Table:              Tabelle 7 - Linienintegration 1
% phi_0 (V)                                       eps_0 * eps_r * (uzi*nzi + uri*nri) * kappa_d/(beta*e_0) * 100 / (pi*(kappa_d*(d_m/2+d_ins))^2)
0                                                 -10.726873043387183
-0.01                                             -10.907396835466422
-0.02                                             -11.090389914161806
-0.03                                             -11.27776353072618
-0.04                                             -11.471016868475255
-0.05                                             -11.67104876458958
-0.06                                             -11.877995119963025
-0.07                                             -12.091119670646645
-0.08                                             -12.30879251889364
-0.09                                             -12.528586284969247
-0.1                                              -12.747498906048008
-0.11                                             -12.962277620474506
-0.12                                             -13.169783768307578
-0.13                                             -13.367321094637141
-0.14                                             -13.552862202928017
-0.15                                             -13.725143012374097
-0.16                                             -13.883635119614063
-0.17                                             -14.028433133432625
-0.18                                             -14.160101668467806
-0.19                                             -14.27951913354268
-0.2                                              -14.387741509514324
-0.21                                             -14.485896085005873
-0.22                                             -14.575105899823482
-0.23                                             -14.656440720814397
-0.24                                             -14.730888631879653
-0.25                                             -14.799342430213768
-0.26                                             -14.86259596401635
-0.27                                             -14.921346703038727
-0.28                                             -14.976201895663543
-0.29                                             -15.02768652207742
-0.3                                              -15.076251890541258
-0.31                                             -15.122284173368435
-0.32                                             -15.16611248310108
-0.33                                             -15.208016287106918
-0.34                                             -15.248232082547826
-0.35000000000000003                              -15.286959327536676
-0.36                                             -15.324365665545187
-0.37                                             -15.360591500658359
-0.38                                             -15.395753989090041
-0.39                                             -15.429950512737836
-0.4                                              -15.463261696840693
-0.41000000000000003                              -15.49575402813332
-0.42                                             -15.527482123548696
-0.43                                             -15.558490693259238
-0.44                                             -15.588816236062748
-0.45                                             -15.618488499996861
-0.46                                             -15.647531736657378
-0.47000000000000003                              -15.675965773968837
-0.48                                             -15.703806929045822
-0.49                                             -15.731068780198484
-0.5                                              -15.757762814984748
-0.51                                             -15.783898969409535
-0.52                                             -15.809486071836346
-0.53                                             -15.834532203848722
-0.54                                             -15.859044989124381
-0.55                                             -15.883031820324376
-0.56                                             -15.906500033025935
-0.5700000000000001                               -15.929457034820548
-0.58                                             -15.95191039684867
-0.59                                             -15.973867914240424
-0.6                                              -15.995337641177949
-0.61                                             -16.016327905586976
-0.62                                             -16.036847307806596
-0.63                                             -16.056904706975715
-0.64                                             -16.076509198315787
-0.65                                             -16.095670083982746
-0.66                                             -16.11439683970373
-0.67                                             -16.13269907901026
-0.68                                             -16.150586516522555
-0.6900000000000001                               -16.168068931430714
-0.7000000000000001                               -16.18515613205132
-0.71                                             -16.201857922114442
-0.72                                             -16.21818406924558
-0.73                                             -16.23414427595148
-0.74                                             -16.24974815329235
-0.75                                             -16.265005197321035
-0.76                                             -16.27992476829006
-0.77                                             -16.294516072566786
-0.78                                             -16.308788147150977
-0.79                                             -16.322749846657192
-0.8                                              -16.3364098326023
-0.81                                             -16.349776564824808
-0.8200000000000001                               -16.362858294857098
-0.8300000000000001                               -16.375663061069346
-0.84                                             -16.388198685407986
-0.85                                             -16.400472771555847
-0.86                                             -16.412492704351394
-0.87                                             -16.424265650311224
-0.88                                             -16.435798559113188
-0.89                                             -16.447098165906073
-0.9                                              -16.45817099432439
-0.91                                             -16.46902336009689
-0.92                                             -16.479661375148794
-0.93                                             -16.490090952106584
-0.9400000000000001                               -16.50031780912574
-0.9500000000000001                               -16.510347474969095
-0.96                                             -16.520185294272682
-0.97                                             -16.52983643294379
-0.98                                             -16.53930588364276
-0.99                                             -16.548598471305866
-1                                                -16.55771885867434
