log c,log j,E vs. RHE,pH
-2.2166,-4.86362,-0.5,11
-2.2166,-4.65151,-0.55,11
-2.2166,-4.45644,-0.6,11
-2.2166,-4.33621,-0.65,11
-1.58253,-4.3969,-0.5,11
-1.58253,-4.19443,-0.55,11
-1.58253,-3.99831,-0.6,11
-1.58253,-3.84805,-0.65,11
-1.29536,-4.19869,-0.5,11
-1.29536,-3.9924,-0.55,11
-1.29536,-3.73145,-0.6,11
-1.29536,-3.57566,-0.65,11
-0.99562,-3.93776,-0.5,11
-0.99562,-3.72522,-0.55,11
-0.99562,-3.508,-0.6,11
-0.99562,-3.36623,-0.65,11
-0.97972,-0.47149,-0.5,13
-0.97972,-0.13775,-0.55,13
-0.97972,0.18747,-0.6,13
-0.97972,0.39251,-0.65,13
-0.90352,-0.71912,-0.5,13
-0.90352,-0.32533,-0.55,13
-0.90352,0.0476,-0.6,13
-0.90352,0.26644,-0.65,13
-0.82495,-0.76799,-0.5,13
-0.82495,-0.48135,-0.55,13
-0.82495,-0.13097,-0.6,13
-0.82495,0.08309,-0.65,13
-0.69913,-1.15278,-0.5,13
-0.69913,-0.79458,-0.55,13
-0.69913,-0.46166,-0.6,13
-0.69913,-0.19068,-0.65,13
