log c,log j,E vs. RHE,pH
-2.22001,-4.5511,-0.5,11
-2.22001,-4.38205,-0.55,11
-2.22001,-4.16466,-0.6,11
-2.22001,-3.94801,-0.65,11
-1.29151,-4.2705,-0.5,11
-1.29151,-4.10161,-0.55,11
-1.29151,-3.88773,-0.6,11
-1.29151,-3.64936,-0.65,11
-0.52198,-4.17626,-0.5,11
-0.52198,-3.998,-0.55,11
-0.52198,-3.70029,-0.6,11
-0.52198,-3.3986,-0.65,11
-0.00173,-4.02731,-0.5,11
-0.00173,-3.79399,-0.55,11
-0.00173,-3.51858,-0.6,11
-0.00173,-3.22686,-0.65,11
-0.97988,-4.02931,-0.45,13
-0.97988,-3.78275,-0.5,13
-0.97988,-3.49583,-0.55,13
-0.97988,-3.171,-0.6,13
-0.82503,-4.04394,-0.45,13
-0.82503,-3.78162,-0.5,13
-0.82503,-3.47499,-0.55,13
-0.82503,-3.13858,-0.6,13
-0.22187,-3.89703,-0.45,13
-0.22187,-3.64065,-0.5,13
-0.22187,-3.32367,-0.55,13
-0.22187,-3.00135,-0.6,13
0.04164,-3.77399,-0.45,13
0.04164,-3.5295,-0.5,13
0.04164,-3.22423,-0.55,13
0.04164,-2.87656,-0.6,13
