log c,log j,E vs. RHE,pH
-1.82062,-3.99053,-0.45,11
-1.82062,-3.65706,-0.5,11
-1.82062,-3.46127,-0.55,11
-1.82062,-3.28742,-0.6,11
-1.22077,-3.69479,-0.45,11
-1.22077,-3.42573,-0.5,11
-1.22077,-3.23629,-0.55,11
-1.22077,-3.0384,-0.6,11
-0.58325,-3.34384,-0.45,11
-0.58325,-3.03438,-0.5,11
-0.58325,-2.79054,-0.55,11
-0.58325,-2.61897,-0.6,11
0.00561,-2.89612,-0.45,11
0.00561,-2.64929,-0.5,11
0.00561,-2.44017,-0.55,11
0.00561,-2.29316,-0.6,11
-0.97521,-3.94494,-0.45,13
-0.97521,-3.65486,-0.5,13
-0.97521,-3.33809,-0.55,13
-0.97521,-2.96152,-0.6,13
-0.78031,-3.88039,-0.45,13
-0.78031,-3.57953,-0.5,13
-0.78031,-3.28168,-0.55,13
-0.78031,-2.96772,-0.6,13
-0.62488,-3.91083,-0.45,13
-0.62488,-3.63706,-0.5,13
-0.62488,-3.34065,-0.55,13
-0.62488,-2.97815,-0.6,13
-0.3206,-3.988,-0.45,13
-0.3206,-3.70691,-0.5,13
-0.3206,-3.41631,-0.55,13
-0.3206,-3.09006,-0.6,13
-0.02702,-4.08323,-0.45,13
-0.02702,-3.85783,-0.5,13
-0.02702,-3.5929,-0.55,13
-0.02702,-3.27532,-0.6,13
