log c,log j,E vs. RHE,pH,E_SHE,phi0,phi_rp,c,species
-2.22001,-4.5511,-0.5,11,-1.149,-1.659,-0.567719020433169,0.006025457117868869,Li
-2.22001,-4.38205,-0.55,11,-1.199,-1.709,-0.5818926813082665,0.006025457117868869,Li
-2.22001,-4.16466,-0.6,11,-1.249,-1.7590000000000001,-0.5960873469052308,0.006025457117868869,Li
-2.22001,-3.94801,-0.65,11,-1.299,-1.809,-0.6103012480669907,0.006025457117868869,Li
-1.29151,-4.2705,-0.5,11,-1.149,-1.659,-0.5283629670020074,0.05110813108198288,Li
-1.29151,-4.10161,-0.55,11,-1.199,-1.709,-0.5425600472494089,0.05110813108198288,Li
-1.29151,-3.88773,-0.6,11,-1.249,-1.7590000000000001,-0.5567769235963534,0.05110813108198288,Li
-1.29151,-3.64936,-0.65,11,-1.299,-1.809,-0.571011960826905,0.05110813108198288,Li
-0.52198,-4.17626,-0.5,11,-1.149,-1.659,-0.49557665107927856,0.30062147407455186,Li
-0.52198,-3.998,-0.55,11,-1.199,-1.709,-0.5097906506500038,0.30062147407455186,Li
-0.52198,-3.70029,-0.6,11,-1.249,-1.7590000000000001,-0.524023675509361,0.30062147407455186,Li
-0.52198,-3.3986,-0.65,11,-1.299,-1.809,-0.5382741779977502,0.30062147407455186,Li
-0.00173,-4.02731,-0.5,11,-1.149,-1.659,-0.47274389495521585,0.9960244512900409,Li
-0.00173,-3.79399,-0.55,11,-1.199,-1.709,-0.48696594970322177,0.9960244512900409,Li
-0.00173,-3.51858,-0.6,11,-1.249,-1.7590000000000001,-0.5012068899862342,0.9960244512900409,Li
-0.00173,-3.22686,-0.65,11,-1.299,-1.809,-0.5154651941827835,0.9960244512900409,Li
-0.97988,-4.02931,-0.45,13,-1.2169999999999999,-1.7269999999999999,-0.5344511747421785,0.10474179203375401,Li
-0.97988,-3.78275,-0.5,13,-1.267,-1.777,-0.5486827524279232,0.10474179203375401,Li
-0.97988,-3.49583,-0.55,13,-1.317,-1.827,-0.5629320346291917,0.10474179203375401,Li
-0.97988,-3.171,-0.6,13,-1.367,-1.877,-0.5771982174987582,0.10474179203375401,Li
-0.82503,-4.04394,-0.45,13,-1.2169999999999999,-1.7269999999999999,-0.5278646945005075,0.14961323033666313,Li
-0.82503,-3.78162,-0.5,13,-1.267,-1.777,-0.5420994838782571,0.14961323033666313,Li
-0.82503,-3.47499,-0.55,13,-1.317,-1.827,-0.5563518406973548,0.14961323033666313,Li
-0.82503,-3.13858,-0.6,13,-1.367,-1.877,-0.5706209717033212,0.14961323033666313,Li
-0.22187,-3.89703,-0.45,13,-1.2169999999999999,-1.7269999999999999,-0.501903109518011,0.5999706422282968,Li
-0.22187,-3.64065,-0.5,13,-1.267,-1.777,-0.5161487521772308,0.5999706422282968,Li
-0.22187,-3.32367,-0.55,13,-1.317,-1.827,-0.5304116138639047,0.5999706422282968,Li
-0.22187,-3.00135,-0.6,13,-1.367,-1.877,-0.5446909332821037,0.5999706422282968,Li
0.04164,-3.77399,-0.45,13,-1.2169999999999999,-1.7269999999999999,-0.49010710293111087,1.1006265882073558,Li
0.04164,-3.5295,-0.5,13,-1.267,-1.777,-0.5043560818521873,1.1006265882073558,Li
0.04164,-3.22423,-0.55,13,-1.317,-1.827,-0.5186223196180394,1.1006265882073558,Li
0.04164,-2.87656,-0.6,13,-1.367,-1.877,-0.5329050602974906,1.1006265882073558,Li
-1.82062,-3.99053,-0.45,11,-1.099,-1.609,-0.4941999306820535,0.015114020258468376,Na
-1.82062,-3.65706,-0.5,11,-1.149,-1.659,-0.5069419586075486,0.015114020258468376,Na
-1.82062,-3.46127,-0.55,11,-1.199,-1.709,-0.5197080391762581,0.015114020258468376,Na
-1.82062,-3.28742,-0.6,11,-1.249,-1.7590000000000001,-0.532494797096708,0.015114020258468376,Na
-1.22077,-3.69479,-0.45,11,-1.099,-1.609,-0.4677412786948207,0.06014922001517176,Na
-1.22077,-3.42573,-0.5,11,-1.149,-1.659,-0.4804998254280731,0.06014922001517176,Na
-1.22077,-3.23629,-0.55,11,-1.199,-1.709,-0.49328148808015154,0.06014922001517176,Na
-1.22077,-3.0384,-0.6,11,-1.249,-1.7590000000000001,-0.5060830468121792,0.06014922001517176,Na
-0.58325,-3.34384,-0.45,11,-1.099,-1.609,-0.439492467341631,0.2610658106161556,Na
