log c,log j,E vs. RHE,pH,E_SHE,phi0,phi_rp,c,species
-2.22001,-4.5511,-0.5,11,-1.149,-1.659,-1.0277052536435234,0.006025457117868869,Li
-2.22001,-4.38205,-0.55,11,-1.199,-1.709,-1.0567735589314553,0.006025457117868869,Li
-2.22001,-4.16466,-0.6,11,-1.249,-1.7590000000000001,-1.08585214032567,0.006025457117868869,Li
-2.22001,-3.94801,-0.65,11,-1.299,-1.809,-1.1149401946438349,0.006025457117868869,Li
-1.29151,-4.2705,-0.5,11,-1.149,-1.659,-1.0047174395973262,0.05110813108198288,Li
-1.29151,-4.10161,-0.55,11,-1.199,-1.709,-1.0337969350462866,0.05110813108198288,Li
-1.29151,-3.88773,-0.6,11,-1.249,-1.7590000000000001,-1.06288619874395,0.05110813108198288,Li
-1.29151,-3.64936,-0.65,11,-1.299,-1.809,-1.0919844729148465,0.05110813108198288,Li
-0.52198,-4.17626,-0.5,11,-1.149,-1.659,-0.9855915519430053,0.30062147407455186,Li
-0.52198,-3.998,-0.55,11,-1.199,-1.709,-1.014677974071086,0.30062147407455186,Li
-0.52198,-3.70029,-0.6,11,-1.249,-1.7590000000000001,-1.0437738757366788,0.30062147407455186,Li
-0.52198,-3.3986,-0.65,11,-1.299,-1.809,-1.0728785237196585,0.30062147407455186,Li
-0.00173,-4.02731,-0.5,11,-1.149,-1.659,-0.9723323104675055,0.9960244512900409,Li
-0.00173,-3.79399,-0.55,11,-1.199,-1.709,-1.0014188513445208,0.9960244512900409,Li
-0.00173,-3.51858,-0.6,11,-1.249,-1.7590000000000001,-1.0305149320824512,0.9960244512900409,Li
-0.00173,-3.22686,-0.65,11,-1.299,-1.809,-1.059619810573249,0.9960244512900409,Li
-0.97988,-4.02931,-0.45,13,-1.2169999999999999,-1.7269999999999999,-1.0365465602496178,0.10474179203375401,Li
-0.97988,-3.78275,-0.5,13,-1.267,-1.777,-1.065642815281776,0.10474179203375401,Li
-0.97988,-3.49583,-0.55,13,-1.317,-1.827,-1.0947478980712915,0.10474179203375401,Li
-0.97988,-3.171,-0.6,13,-1.367,-1.877,-1.1238614406164118,0.10474179203375401,Li
-0.82503,-4.04394,-0.45,13,-1.2169999999999999,-1.7269999999999999,-1.0327029673505868,0.14961323033666313,Li
-0.82503,-3.78162,-0.5,13,-1.267,-1.777,-1.061800573765911,0.14961323033666313,Li
-0.82503,-3.47499,-0.55,13,-1.317,-1.827,-1.090906953284457,0.14961323033666313,Li
-0.82503,-3.13858,-0.6,13,-1.367,-1.877,-1.1200217407771735,0.14961323033666313,Li
-0.22187,-3.89703,-0.45,13,-1.2169999999999999,-1.7269999999999999,-1.0175828251318082,0.5999706422282968,Li
-0.22187,-3.64065,-0.5,13,-1.267,-1.777,-1.0466834393177784,0.5999706422282968,Li
-0.22187,-3.32367,-0.55,13,-1.317,-1.827,-1.0757927344728808,0.5999706422282968,Li
-0.22187,-3.00135,-0.6,13,-1.367,-1.877,-1.1049103490374235,0.5999706422282968,Li
0.04164,-3.77399,-0.45,13,-1.2169999999999999,-1.7269999999999999,-1.0107449241809596,1.1006265882073558,Li
0.04164,-3.5295,-0.5,13,-1.267,-1.777,-1.0398444951209942,1.1006265882073558,Li
0.04164,-3.22423,-0.55,13,-1.317,-1.827,-1.0689528342621837,1.1006265882073558,Li
0.04164,-2.87656,-0.6,13,-1.367,-1.877,-1.098069573701084,1.1006265882073558,Li
-1.82062,-3.99053,-0.45,11,-1.099,-1.609,-0.9278768305640126,0.015114020258468376,Na
-1.82062,-3.65706,-0.5,11,-1.149,-1.659,-0.9548987482866269,0.015114020258468376,Na
-1.82062,-3.46127,-0.55,11,-1.199,-1.709,-0.9819335708966644,0.015114020258468376,Na
-1.82062,-3.28742,-0.6,11,-1.249,-1.7590000000000001,-1.008979553876835,0.015114020258468376,Na
-1.22077,-3.69479,-0.45,11,-1.099,-1.609,-0.91156535242039,0.06014922001517176,Na
-1.22077,-3.42573,-0.5,11,-1.149,-1.659,-0.9385958946406663,0.06014922001517176,Na
-1.22077,-3.23629,-0.55,11,-1.199,-1.709,-0.9656389036430207,0.06014922001517176,Na
-1.22077,-3.0384,-0.6,11,-1.249,-1.7590000000000001,-0.9926927002181918,0.06014922001517176,Na
-0.58325,-3.34384,-0.45,11,-1.099,-1.609,-0.8941685999671785,0.2610658106161556,Na
-0.58325,-3.03438,-0.5,11,-1.149,-1.659,-0.9212064790581382,0.2610658106161556,Na
-0.58325,-2.79054,-0.55,11,-1.199,-1.709,-0.948256466685856,0.2610658106161556,Na
-0.58325,-2.61897,-0.6,11,-1.249,-1.7590000000000001,-0.9753169361218735,0.2610658106161556,Na
0.00561,-2.89612,-0.45,11,-1.099,-1.609,-0.8777395302466727,1.0130012937083432,Na
0.00561,-2.64929,-0.5,11,-1.149,-1.659,-0.9047787973080086,1.0130012937083432,Na
0.00561,-2.44017,-0.55,11,-1.199,-1.709,-0.9318301481809049,1.0130012937083432,Na
0.00561,-2.29316,-0.6,11,-1.249,-1.7590000000000001,-0.9588919565230544,1.0130012937083432,Na
-0.98,-3.94494,-0.45,13,-1.2169999999999999,-1.7269999999999999,-0.9688277795315255,0.10471285480508996,Na
-0.98,-3.65486,-0.5,13,-1.267,-1.777,-0.9958896266028352,0.10471285480508996,Na
-0.98,-3.33809,-0.55,13,-1.317,-1.827,-1.0229616672036679,0.10471285480508996,Na
-0.98,-2.96152,-0.6,13,-1.367,-1.877,-1.0500434589504835,0.10471285480508996,Na
-0.825,-3.88039,-0.45,13,-1.2169999999999999,-1.7269999999999999,-0.9646045762189779,0.14962356560944334,Na
-0.825,-3.57953,-0.5,13,-1.267,-1.777,-0.9916680398438092,0.14962356560944334,Na
-0.825,-3.28168,-0.55,13,-1.317,-1.827,-1.0187416260072246,0.14962356560944334,Na
-0.825,-2.96772,-0.6,13,-1.367,-1.877,-1.0458248964870656,0.14962356560944334,Na
-0.7,-3.91083,-0.45,13,-1.2169999999999999,-1.7269999999999999,-0.9611920428567,0.19952623149688797,Na
-0.7,-3.63706,-0.5,13,-1.267,-1.777,-0.9882566858581319,0.19952623149688797,Na
-0.7,-3.34065,-0.55,13,-1.317,-1.827,-1.0153314004997098,0.19952623149688797,Na
-0.7,-2.97815,-0.6,13,-1.367,-1.877,-1.0424157515010657,0.19952623149688797,Na
