log c,log j,E vs. RHE,pH,E_SHE,phi0,phi_rp,c,species
    -2.220,    -4.551,    -0.500,11,    -1.149,    -1.659,    -0.568,     0.006,Li
    -2.220,    -4.382,    -0.550,11,    -1.199,    -1.709,    -0.582,     0.006,Li
    -2.220,    -4.165,    -0.600,11,    -1.249,    -1.759,    -0.596,     0.006,Li
    -2.220,    -3.948,    -0.650,11,    -1.299,    -1.809,    -0.610,     0.006,Li
    -1.292,    -4.271,    -0.500,11,    -1.149,    -1.659,    -0.528,     0.051,Li
    -1.292,    -4.102,    -0.550,11,    -1.199,    -1.709,    -0.543,     0.051,Li
    -1.292,    -3.888,    -0.600,11,    -1.249,    -1.759,    -0.557,     0.051,Li
    -1.292,    -3.649,    -0.650,11,    -1.299,    -1.809,    -0.571,     0.051,Li
    -0.522,    -4.176,    -0.500,11,    -1.149,    -1.659,    -0.496,     0.301,Li
    -0.522,    -3.998,    -0.550,11,    -1.199,    -1.709,    -0.510,     0.301,Li
    -0.522,    -3.700,    -0.600,11,    -1.249,    -1.759,    -0.524,     0.301,Li
    -0.522,    -3.399,    -0.650,11,    -1.299,    -1.809,    -0.538,     0.301,Li
    -0.002,    -4.027,    -0.500,11,    -1.149,    -1.659,    -0.473,     0.996,Li
    -0.002,    -3.794,    -0.550,11,    -1.199,    -1.709,    -0.487,     0.996,Li
    -0.002,    -3.519,    -0.600,11,    -1.249,    -1.759,    -0.501,     0.996,Li
    -0.002,    -3.227,    -0.650,11,    -1.299,    -1.809,    -0.515,     0.996,Li
    -0.980,    -4.029,    -0.450,13,    -1.217,    -1.727,    -0.534,     0.105,Li
    -0.980,    -3.783,    -0.500,13,    -1.267,    -1.777,    -0.549,     0.105,Li
    -0.980,    -3.496,    -0.550,13,    -1.317,    -1.827,    -0.563,     0.105,Li
    -0.980,    -3.171,    -0.600,13,    -1.367,    -1.877,    -0.577,     0.105,Li
    -0.825,    -4.044,    -0.450,13,    -1.217,    -1.727,    -0.528,     0.150,Li
    -0.825,    -3.782,    -0.500,13,    -1.267,    -1.777,    -0.542,     0.150,Li
    -0.825,    -3.475,    -0.550,13,    -1.317,    -1.827,    -0.556,     0.150,Li
    -0.825,    -3.139,    -0.600,13,    -1.367,    -1.877,    -0.571,     0.150,Li
    -0.222,    -3.897,    -0.450,13,    -1.217,    -1.727,    -0.502,     0.600,Li
    -0.222,    -3.641,    -0.500,13,    -1.267,    -1.777,    -0.516,     0.600,Li
    -0.222,    -3.324,    -0.550,13,    -1.317,    -1.827,    -0.530,     0.600,Li
    -0.222,    -3.001,    -0.600,13,    -1.367,    -1.877,    -0.545,     0.600,Li
     0.042,    -3.774,    -0.450,13,    -1.217,    -1.727,    -0.490,     1.101,Li
     0.042,    -3.530,    -0.500,13,    -1.267,    -1.777,    -0.504,     1.101,Li
     0.042,    -3.224,    -0.550,13,    -1.317,    -1.827,    -0.519,     1.101,Li
     0.042,    -2.877,    -0.600,13,    -1.367,    -1.877,    -0.533,     1.101,Li
    -1.821,    -3.991,    -0.450,11,    -1.099,    -1.609,    -0.494,     0.015,Na
    -1.821,    -3.657,    -0.500,11,    -1.149,    -1.659,    -0.507,     0.015,Na
    -1.821,    -3.461,    -0.550,11,    -1.199,    -1.709,    -0.520,     0.015,Na
    -1.821,    -3.287,    -0.600,11,    -1.249,    -1.759,    -0.532,     0.015,Na
    -1.221,    -3.695,    -0.450,11,    -1.099,    -1.609,    -0.468,     0.060,Na
    -1.221,    -3.426,    -0.500,11,    -1.149,    -1.659,    -0.480,     0.060,Na
    -1.221,    -3.236,    -0.550,11,    -1.199,    -1.709,    -0.493,     0.060,Na
    -1.221,    -3.038,    -0.600,11,    -1.249,    -1.759,    -0.506,     0.060,Na
    -0.583,    -3.344,    -0.450,11,    -1.099,    -1.609,    -0.439,     0.261,Na
    -0.583,    -3.034,    -0.500,11,    -1.149,    -1.659,    -0.452,     0.261,Na
    -0.583,    -2.791,    -0.550,11,    -1.199,    -1.709,    -0.465,     0.261,Na
    -0.583,    -2.619,    -0.600,11,    -1.249,    -1.759,    -0.478,     0.261,Na
     0.006,    -2.896,    -0.450,11,    -1.099,    -1.609,    -0.413,     1.013,Na
     0.006,    -2.649,    -0.500,11,    -1.149,    -1.659,    -0.425,     1.013,Na
     0.006,    -2.440,    -0.550,11,    -1.199,    -1.709,    -0.438,     1.013,Na
     0.006,    -2.293,    -0.600,11,    -1.249,    -1.759,    -0.451,     1.013,Na
    -0.980,    -3.945,    -0.450,13,    -1.217,    -1.727,    -0.487,     0.105,Na
    -0.980,    -3.655,    -0.500,13,    -1.267,    -1.777,    -0.500,     0.105,Na
    -0.980,    -3.338,    -0.550,13,    -1.317,    -1.827,    -0.513,     0.105,Na
    -0.980,    -2.962,    -0.600,13,    -1.367,    -1.877,    -0.526,     0.105,Na
    -0.825,    -3.880,    -0.450,13,    -1.217,    -1.727,    -0.480,     0.150,Na
    -0.825,    -3.580,    -0.500,13,    -1.267,    -1.777,    -0.493,     0.150,Na
    -0.825,    -3.282,    -0.550,13,    -1.317,    -1.827,    -0.506,     0.150,Na
    -0.825,    -2.968,    -0.600,13,    -1.367,    -1.877,    -0.519,     0.150,Na
    -0.700,    -3.911,    -0.450,13,    -1.217,    -1.727,    -0.475,     0.200,Na
    -0.700,    -3.637,    -0.500,13,    -1.267,    -1.777,    -0.488,     0.200,Na
    -0.700,    -3.341,    -0.550,13,    -1.317,    -1.827,    -0.501,     0.200,Na
    -0.700,    -2.978,    -0.600,13,    -1.367,    -1.877,    -0.513,     0.200,Na
    -0.458,    -3.988,    -0.450,13,    -1.217,    -1.727,    -0.464,     0.349,Na
    -0.458,    -3.707,    -0.500,13,    -1.267,    -1.777,    -0.477,     0.349,Na
    -0.458,    -3.416,    -0.550,13,    -1.317,    -1.827,    -0.490,     0.349,Na
    -0.458,    -3.090,    -0.600,13,    -1.367,    -1.877,    -0.503,     0.349,Na
    -0.223,    -4.083,    -0.450,13,    -1.217,    -1.727,    -0.453,     0.598,Na
    -0.223,    -3.858,    -0.500,13,    -1.267,    -1.777,    -0.466,     0.598,Na
    -0.223,    -3.593,    -0.550,13,    -1.317,    -1.827,    -0.479,     0.598,Na
    -0.223,    -3.275,    -0.600,13,    -1.367,    -1.877,    -0.492,     0.598,Na
    -2.217,    -4.864,    -0.500,11,    -1.149,    -1.659,    -0.476,     0.006,K
    -2.217,    -4.652,    -0.550,11,    -1.199,    -1.709,    -0.488,     0.006,K
    -2.217,    -4.456,    -0.600,11,    -1.249,    -1.759,    -0.499,     0.006,K
    -2.217,    -4.336,    -0.650,11,    -1.299,    -1.809,    -0.510,     0.006,K
    -1.583,    -4.397,    -0.500,11,    -1.149,    -1.659,    -0.447,     0.026,K
    -1.583,    -4.194,    -0.550,11,    -1.199,    -1.709,    -0.458,     0.026,K
    -1.583,    -3.998,    -0.600,11,    -1.249,    -1.759,    -0.470,     0.026,K
    -1.583,    -3.848,    -0.650,11,    -1.299,    -1.809,    -0.481,     0.026,K
    -1.295,    -4.199,    -0.500,11,    -1.149,    -1.659,    -0.434,     0.051,K
    -1.295,    -3.992,    -0.550,11,    -1.199,    -1.709,    -0.445,     0.051,K
    -1.295,    -3.731,    -0.600,11,    -1.249,    -1.759,    -0.456,     0.051,K
    -1.295,    -3.576,    -0.650,11,    -1.299,    -1.809,    -0.468,     0.051,K
    -0.996,    -3.938,    -0.500,11,    -1.149,    -1.659,    -0.420,     0.101,K
    -0.996,    -3.725,    -0.550,11,    -1.199,    -1.709,    -0.431,     0.101,K
    -0.996,    -3.508,    -0.600,11,    -1.249,    -1.759,    -0.443,     0.101,K
    -0.996,    -3.366,    -0.650,11,    -1.299,    -1.809,    -0.454,     0.101,K
    -0.980,    -0.471,    -0.500,13,    -1.267,    -1.777,    -0.446,     0.105,K
    -0.980,    -0.138,    -0.550,13,    -1.317,    -1.827,    -0.457,     0.105,K
    -0.980,     0.187,    -0.600,13,    -1.367,    -1.877,    -0.469,     0.105,K
    -0.980,     0.393,    -0.650,13,    -1.417,    -1.927,    -0.480,     0.105,K
    -0.904,    -0.719,    -0.500,13,    -1.267,    -1.777,    -0.443,     0.125,K
    -0.904,    -0.325,    -0.550,13,    -1.317,    -1.827,    -0.454,     0.125,K
    -0.904,     0.048,    -0.600,13,    -1.367,    -1.877,    -0.465,     0.125,K
    -0.904,     0.266,    -0.650,13,    -1.417,    -1.927,    -0.476,     0.125,K
    -0.825,    -0.768,    -0.500,13,    -1.267,    -1.777,    -0.439,     0.150,K
    -0.825,    -0.481,    -0.550,13,    -1.317,    -1.827,    -0.450,     0.150,K
    -0.825,    -0.131,    -0.600,13,    -1.367,    -1.877,    -0.461,     0.150,K
    -0.825,     0.083,    -0.650,13,    -1.417,    -1.927,    -0.473,     0.150,K
    -0.699,    -1.153,    -0.500,13,    -1.267,    -1.777,    -0.433,     0.200,K
    -0.699,    -0.795,    -0.550,13,    -1.317,    -1.827,    -0.444,     0.200,K
    -0.699,    -0.462,    -0.600,13,    -1.367,    -1.877,    -0.456,     0.200,K
    -0.699,    -0.191,    -0.650,13,    -1.417,    -1.927,    -0.467,     0.200,K
