log c,log j,E vs. RHE,pH,E_SHE,phi0,phi_rp,c,species
    -2.220,    -4.551,    -0.500,11,    -1.149,    -1.659,    -1.028,     0.006,Li
    -2.220,    -4.382,    -0.550,11,    -1.199,    -1.709,    -1.057,     0.006,Li
    -2.220,    -4.165,    -0.600,11,    -1.249,    -1.759,    -1.086,     0.006,Li
    -2.220,    -3.948,    -0.650,11,    -1.299,    -1.809,    -1.115,     0.006,Li
    -1.292,    -4.271,    -0.500,11,    -1.149,    -1.659,    -1.005,     0.051,Li
    -1.292,    -4.102,    -0.550,11,    -1.199,    -1.709,    -1.034,     0.051,Li
    -1.292,    -3.888,    -0.600,11,    -1.249,    -1.759,    -1.063,     0.051,Li
    -1.292,    -3.649,    -0.650,11,    -1.299,    -1.809,    -1.092,     0.051,Li
    -0.522,    -4.176,    -0.500,11,    -1.149,    -1.659,    -0.986,     0.301,Li
    -0.522,    -3.998,    -0.550,11,    -1.199,    -1.709,    -1.015,     0.301,Li
    -0.522,    -3.700,    -0.600,11,    -1.249,    -1.759,    -1.044,     0.301,Li
    -0.522,    -3.399,    -0.650,11,    -1.299,    -1.809,    -1.073,     0.301,Li
    -0.002,    -4.027,    -0.500,11,    -1.149,    -1.659,    -0.972,     0.996,Li
    -0.002,    -3.794,    -0.550,11,    -1.199,    -1.709,    -1.001,     0.996,Li
    -0.002,    -3.519,    -0.600,11,    -1.249,    -1.759,    -1.031,     0.996,Li
    -0.002,    -3.227,    -0.650,11,    -1.299,    -1.809,    -1.060,     0.996,Li
    -0.980,    -4.029,    -0.450,13,    -1.217,    -1.727,    -1.037,     0.105,Li
    -0.980,    -3.783,    -0.500,13,    -1.267,    -1.777,    -1.066,     0.105,Li
    -0.980,    -3.496,    -0.550,13,    -1.317,    -1.827,    -1.095,     0.105,Li
    -0.980,    -3.171,    -0.600,13,    -1.367,    -1.877,    -1.124,     0.105,Li
    -0.825,    -4.044,    -0.450,13,    -1.217,    -1.727,    -1.033,     0.150,Li
    -0.825,    -3.782,    -0.500,13,    -1.267,    -1.777,    -1.062,     0.150,Li
    -0.825,    -3.475,    -0.550,13,    -1.317,    -1.827,    -1.091,     0.150,Li
